compounds,name,maxFlux
cpd00314,D-Mannitol,100
cpd00318,Tryptamine,100
cpd00320,D-Aspartate,100
cpd00322,L-Isoleucine,100
cpd00324,Methanethiol,100
cpd00327,strcoa,100
cpd00330,Dihydrofolate,100
cpd00331,cis-Aconitate,100
cpd00332,Mevalonic acid,100
cpd00338,5-Aminolevulinate,100
cpd00339,5-Aminopentanoate,100
cpd00343,N-Carbamoyl-L-aspartate,100
cpd00347,5-10-Methenyltetrahydrofolate,100
cpd00350,Farnesyldiphosphate,100
cpd00355,Nicotinamide ribonucleotide,100
cpd00357,TTP,100
cpd00359,Indole,100
cpd00361,(R)-acetoin,100
cpd00363,Ethanol,100
cpd00366,Ribitol,100
cpd00367,Cytidine,100
cpd00371,Propanal,100
cpd00374,Tyramine,100
cpd00378,Formamide,100
cpd00379,Glutarate,100
cpd00380,Itaconate,100
cpd00381,L-Cystine,100
cpd00382,Melitose,100
cpd00383,Shikimate,100
cpd00386,D-Malate,100
cpd00388,Allantoate,100
cpd00393,Folate,100
cpd00395,L-Cysteate,100
cpd00396,L-Rhamnose,100
cpd00406,Hypotaurine,100
cpd00408,Pantoate,100
cpd00412,Deoxyuridine,100
cpd00415,Quinol,100
cpd00417,L-Arabinol,100
cpd00418,Nitric oxide,100
cpd00421,Triphosphate,100
cpd00423,Cob(II)alamin,100
cpd00424,Cystathionine,100
cpd00425,(CH3)2NH,100
cpd00430,PACT,100
cpd00432,meso-Tartrate,100
cpd00435,Phenylcarbinol,100
cpd00438,Deoxyadenosine,100
cpd00441,Trimethylamine,100
cpd00443,4-Aminobenzoate,100
cpd00448,D-Glyceraldehyde,100
cpd00450,Methyl sulfide,100
cpd00453,"1,2-Propanediol",100
cpd00457,Phosphocholine,100
cpd00464,alpha-Tolualdehyde,100
cpd00467,3-Sulfinoalanine,100
cpd00477,N-Acetyl-L-glutamate,100
cpd00480,2-Dehydro-D-gluconate,100
cpd00482,2-Phospho-D-glycerate,100
cpd00485,D-Mannose1-phosphate,100
cpd00489,4-Hydroxyphenylacetate,100
cpd00491,D-mannitol-1-phosphate,100
cpd00492,N-Acetyl-D-mannosamine,100
cpd00507,Glycerophosphocholine,100
cpd00508,3MOP,100
cpd00516,"meso-2,6-Diaminopimelate",100
cpd00526,Cholate,100
cpd00528,N2,100
cpd00531,Mercury,100
cpd00533,dCDP,100
cpd00540,Betaine,100
cpd00547,Cysteine,100
cpd00549,D-Lysine,100
cpd00550,D-Serine,100
cpd00551,DTYL,100
cpd00557,Siroheme,100
cpd00558,Spermine,100
cpd00559,Supraene,100
cpd00561,Vanillin,100
cpd00572,Histidine,100
cpd00573,L-Idonate,100
cpd00581,Urocanate,100
cpd00587,D-Cysteine,100
cpd00588,Sorbitol,100
cpd00589,D-Tagatose,100
cpd00591,Ethylamine,100
cpd00599,SALC,100
cpd00604,4-Coumarate,100
cpd00609,D-Glucarate,100
cpd00611,D-Threonine,100
cpd00630,3-Oxoadipate,100
cpd00634,Chlorogenate,100
cpd00635,Cob(I)alamin,100
cpd00637,D-Methionine,100
cpd00644,Pantothenic acid,100
cpd00652,D-Mucic acid,100
cpd00653,D-Galactonate,100
cpd00654,Deoxycytidine,100
cpd00655,Dephospho-CoA,100
cpd00659,Nitrous oxide,100
cpd00666,Tartrate,100
cpd00668,ALCTT,100
cpd00672,D-Fructuronate,100
cpd00681,Choline sulfate,100
cpd00696,"3',5'-Cyclic CMP",100
cpd00697,cGMP,100
cpd00700,AMP 2'-phosphate,100
cpd00703,Indoleacetate,100
cpd00704,Tryptophol,100
cpd00712,2-Dehydropantoate,100
cpd00727,2-Phosphoglycolate,100
cpd00728,4-Hydroxybutanoate,100
