compounds,name,maxFlux
cpd16888,octadecadienoate (n-C18:2),100
cpd17026,methymenaquinol 7,100
cpd17027,methylmenaquinone 7,100
cpd17085,2-heptyl-3-hydroxy-4-quinolone,100
cpd17760,Ursocholate,100
cpd18072,Cytochrome-C-ox,100
cpd18074,Cytochrome-C-red,100
cpd21520,Tn antigen,100
cpd21755,1-4-alpha-D-galacturonosyl,100
cpd22614,sulfoquinovose,100
cpd23430,isocholate,100
cpd23431,3-dehydrocholate,100
cpd25730,"6,6-kestotetraose",100
cpd27013,Elemental-Sulfur,100
cpd27289,indole-3-propionate,100
cpd27519,Methylesterified-homogalacturonan,100
cpd28763,"Inulin (2,1-beta-D-fructan)",100
cpd31356,"(S)-2,3-Dihydroxypropane-1-sulfonate",100
cpd35610,3alpha-hydroxy-7-oxo-5beta-cholan-24-oate,100
cpd90001,2'-fucosyllactose,100
cpd90003,"starch (n=27, 3xalpha1-6, 23xalpha1-4)",100
cpd90004,"starch (n=19, 3xalpha1-6, 15xalpha1-4)",100
cpd90005,malto-8-ose,100
cpd90006,malto-11-ose,100
cpd90007,malto-6-ose,100
cpd90008,malto-13-ose,100
cpd90017,Protein-Linked Serine Or Threonine Residue (O-Glycosylation Site),100
cpd90020,cellulose,100
cpd90021,Xylan-b-1-4,100
cpd90022,Xylooligo-b-1-4,100
cpd90026,3-fucosyllactose,100
cpd90027,Difucosyllactose,100
cpd90028,3'-sialyllactose,100
cpd90029,6'-sialyllactose,100
cpd90030,Lacto-N-neotetraose,100
